,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist,sy_gaiamag,calc_temp,distance,have_life
28,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.3989,0.2373,8.51,0.76,54.4738,0.1714,Mass,0.486,0.03,,,0,G8V,5172.0,0.94,0.91,-0.197,4.43,12.5855,5.72973,182.00130335512847,0.29771295829370276,No
29,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5574.2,5.957,13.0,1.16,1232.493,3.878,Mass,3.08,0.13,,,0,G8 V,5172.0,0.94,0.91,-0.197,4.43,12.5855,5.72973,-182.30712721323886,7.473561283420088,No
30,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,6.66,0.05,2657.83,1958.0,0,G8 V,5172.0,0.94,0.91,-0.197,4.43,12.5855,5.72973,1511.2039714395773,0.019370788352527476,No
31,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,259.88,0.7708,7.59,0.677,44.812,0.141,Mass,0.563,0.08,,,0,G8V,5172.0,0.94,0.91,-0.197,4.43,12.5855,5.72973,-20.60788876683941,0.9670339159409442,No
32,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,934.3,2.11,13.4,1.19,638.8383,2.01,Msini,1.46,0.073,,,0,K0 IV,4938.0,5.2,1.44,1.176,3.19,54.6599,5.60686,69.61285104529549,0.5448569002238998,No
33,61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.215,0.050201,2.11,0.188,5.1,0.016,Msini,2.98,0.12,,,0,G5 V,5577.0,0.96,0.94,-0.095,4.34,8.50332,4.54052,805.206334063742,0.05600313877596414,No
34,61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.021,0.2175,4.46,0.398,18.2,0.057,Msini,1.13,0.14,,,0,G5 V,5577.0,0.96,0.94,-0.095,4.34,8.50332,4.54052,244.92048066994744,0.24263824791881036,No
35,61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01,0.476,5.11,0.456,22.9,0.072,Msini,0.943,0.35,,,0,G5 V,5577.0,0.96,0.94,-0.095,4.34,8.50332,4.54052,77.04908050559783,0.5310152000430056,No
36,7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.1,1.758,13.4,1.2,587.9855,1.85,Msin(i)/sin(i),1.34,0.06,,,0,K1 III,4826.0,4.87,1.34,1.063,3.19,19.8101,3.67853,82.01043530340723,0.5170337233607767,No
37,7 CMa c,7 CMa,1,2,Radial Velocity,2019,996.0,2.153,13.9,1.24,276.5121,0.87,Msin(i)/sin(i),0.566,0.08,,,0,K1III(+M),4826.0,4.87,1.34,1.063,3.19,19.8101,3.67853,47.781244390623954,0.6332045542637954,No
38,70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.688,0.481,12.6,1.13,2380.45,7.49,Mass,6.54,0.3988,,,0,G5V,5495.0,1.89,1.09,0.451,3.95,17.9011,4.76178,208.47417429432068,0.28618382000106946,No
39,75 Cet b,75 Cet,2,1,Radial Velocity,2012,691.9,2.1,13.1,1.17,953.49,3.0,Msini,2.33,0.117,,,0,G3 III,4846.0,10.5,2.49,1.73,2.63,82.9613,5.09343,205.97698195727776,0.2865624586836742,No
40,8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,0.49,13.6,1.22,416.3573,1.31,Msini,0.91,0.06,,,0,K0,4847.0,10.3,1.44,1.725,2.57,162.552,6.55896,709.4478484860377,0.06725058708937053,No
41,81 Cet b,81 Cet,1,1,Radial Velocity,2008,952.7,2.5,12.8,1.14,1684.4,5.3,Msini,4.41,0.206,,,0,G5 III,4785.0,11.0,2.4,1.778,2.35,101.26,5.37588,170.65326929477965,0.32280481840338354,No
42,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.4,0.7,13.1,1.17,1017.0,3.2,Msini,2.49,0.027,,,0,K0 III,4665.0,11.0,1.4,1.692,2.52,44.0304,3.95311,544.5258808216076,0.09979253155215317,No
43,AB Aur b,AB Aur,1,1,Imaging,2022,,93.9,12.5,1.12,2860.45566,9.0,Mass,8.05,0.4,,,0,,9770.0,2.96,2.4,1.771,3.77,162.127,7.07854,-196.45097558393178,12.222656093289295,No
44,AB Pic b,AB Pic,1,1,Imaging,2005,,260.0,12.3,1.1,4290.5,13.5,Mass,12.7,,,,0,K2 V,5285.0,1.0,0.9,-0.226,4.53,50.0475,8.8378,-258.6575925882022,337.2666104558286,No
45,AF Lep b,AF Lep,1,1,Imaging,2023,7520.0,7.99,12.8,1.14,1664.46737,5.237,Mass,4.36,0.47,,1400.0,0,F8 V,6100.0,1.25,1.2,0.29,4.4,26.8564,6.18644,-166.46738104504976,5.721985847601087,No
46,AU Mic b,AU Mic,1,2,Transit,2020,8.4629991,0.0645,4.07,0.363,20.12,0.0633,Mass,1.32,0.186,76.64,593.0,1,M1,3588.0,0.7,0.5,-1.046,4.39,9.7221,7.84038,249.49140641779377,0.21506003623228656,No
47,AU Mic c,AU Mic,1,2,Transit,2021,18.858991,0.1101,3.24,0.289,9.6,0.0302,Mass,1.22,0.041,,454.0,0,M1,3700.0,0.75,0.5,-1.046,4.39,9.7221,7.84038,153.8431550405732,0.3671024804523217,No
48,BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,481.9,1.3,12.7,1.13,2034.112,6.4,Msini,5.46,0.2,,,0,,4095.0,32.35,1.14,2.7,1.89,1070.63,8.9977,630.0867288404776,0.0580688669796252,No
49,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94,0.78,13.8,1.23,330.5432,1.04,Msini,0.691,0.29,,,0,K2 V,4864.0,0.86,0.49,-0.32,4.26,49.352,9.35108,-47.322042100148195,1.1274430211818236,No
50,BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22,0.576,13.8,1.23,337.21763,1.061,Msini,0.705,0.001,,,0,G5,4649.0,8.95,1.08,1.57,2.61,768.045,9.9918,537.1429100902998,0.09449797093629345,No
51,BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,137.48,0.539,13.7,1.23,352.78,1.11,Msini,0.754,0.26,,,0,K0,4796.0,14.7,1.1,2.01,2.8,426.42,8.7178,834.3039487529649,0.05328301180200903,No
52,BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63,1.45,12.1,1.08,6807.63,21.42,Msini,21.1,0.15,,,0,K2 II,4137.0,49.0,2.8,3.17,1.51,1539.71,9.22684,790.2135674206289,0.03770231366589644,No
53,BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,621.99,2.01,12.4,1.1,3963.17,12.47,Msini,11.4,0.18,,,0,K2 II,4137.0,49.0,2.8,3.17,1.51,1539.71,9.22684,630.0163513352817,0.05226320721962196,No
54,BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,578.2,1.3,13.0,1.16,1334.886,4.2,Msini,3.34,0.21,,,0,K5 III,4296.0,17.3,0.8,1.96,1.99,1322.51,8.91613,419.79356315430505,0.13612671124661693,No
55,BD+20 594 b,BD+20 594,1,1,Transit,2016,41.6855,0.241,2.578,0.23,22.2481,0.07,Mass,7.89,0.0,,546.0,0,G,5766.0,1.08,1.67,-0.056,4.5,179.461,10.8644,266.55968478998113,0.25704966521649214,No
56,BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,307.88,0.83,13.6,1.21,432.24663,1.36,Msini,0.944,0.12,,,0,K1,5004.0,0.81,0.81,-0.399,4.22,53.622,9.41266,-54.573744791255336,1.3139477403663447,No
57,BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,392.6,1.0,13.9,1.24,289.2253,0.91,Msini,0.592,0.2,,,0,K0 III,4414.0,11.0,0.74,1.69,2.24,871.493,8.65569,374.15787146275125,0.1428893958511103,No
58,BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,733.0,1.7,13.5,1.2,540.311,1.7,Msini,1.21,0.76,,,0,K3 III,4534.0,10.33,1.09,1.64,2.48,666.589,8.26449,221.03485609803272,0.25730541223415543,No
59,BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,2590.0,4.2,13.5,1.21,508.5,1.6,Msini,1.14,0.35,,,0,K0,4943.0,7.6,1.52,1.47,2.85,442.042,9.02851,20.855177293496638,0.7731242406169614,No
60,BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,265.59,0.78,14.0,1.25,228.83645,0.72,Msini,0.458,0.27,,,0,K3,5012.0,0.9,0.91,-0.313,4.09,52.5697,9.15305,-35.100522539938595,1.1183934185235318,No
61,BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,,1662.0,14.684,1.31,4767.4261,15.0,Mass,8.27,,,1303.0,0,K0,4993.0,0.8,1.0,0.356,4.55,44.9543,9.17439,-268.30634427912423,1103.1409830079726,No
62,BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,1198.48,2.06,13.0,1.16,1258.60049,3.96,Msini,3.15,0.88,,,0,K0,5000.0,0.8,0.82,-0.413,4.2,38.0473,8.705,-135.3771620439374,3.3141122984509233,No
63,BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,723.2,1.48,12.0,1.07,7961.6016,25.05,Msini,25.3,0.39,,,0,G0,5040.0,0.84,0.81,-0.35,4.25,42.6402,8.78101,-105.26127205175587,2.214428771019761,No
64,BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,3.8728,0.0428,2.85,0.254,8.5,0.027,Msini,2.02,0.0,,,0,K7/M0 V,4324.0,0.69,0.7,-1.022,4.74,20.2695,9.10677,494.51291879304904,0.13881735622552147,No
65,BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,125.94,0.435,8.38,0.747,53.0,0.17,Msini,0.495,0.31,,,0,K7/M0 V,4324.0,0.69,0.7,-1.022,4.74,20.2695,9.10677,-32.35480360079089,1.4108773354696693,No
66,BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,5.6,0.06,3.61,0.322,12.7132,0.04,Msini,1.48,0.15,,,0,K3 V,4816.0,0.71,0.5,-0.626,4.43,41.3342,9.50331,459.3746510329755,0.1233534357590485,No
67,BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,237.6,0.68,12.5,1.11,104.0,0.33,Msini,0.293,0.19,,,0,K3 V,4746.0,0.72,0.74,-0.626,4.13,41.3342,9.50331,-57.21564560975719,1.3980056052692165,No
68,BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.48777,0.04,14.1,1.26,187.5197,0.59,Msini,0.368,0.02,,,0,K0 V,5393.0,0.91,1.47,-0.191,4.69,84.4069,9.83981,864.224108384638,0.049837929490829894,No
69,BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,1634.0,2.36,14.1,1.25,206.5895,0.65,Msini,0.405,0.05,,,0,K7 V,4550.0,0.64,0.65,-0.804,4.64,27.1665,9.48511,-168.38225436797478,5.955414623054156,No
70,BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,74.2,0.3,4.04,0.36,15.37,0.04836,Msini,1.28,0.4,,,0,K7V,4550.0,0.64,0.65,-0.804,4.64,27.1665,9.48511,20.69815828682391,0.7570442317441723,No
71,BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,714.29999,1.66,12.5,1.11,3108.3774,9.78,Msini,8.75,0.21,,,0,G5 IV/V,4545.0,19.17,2.12,2.043,2.2,925.214,9.69971,409.7751658108824,0.15798217478674864,No
72,BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,655.6,1.34,12.8,1.15,1620.9,5.1,Msini,4.25,0.54,,,0,K5 V,4714.0,0.69,0.74,-0.678,4.26,34.4603,9.20112,-123.58019027310647,2.9248580818696226,No
73,CD Cet b,CD Cet,1,1,Radial Velocity,2020,2.2907,0.0185,1.82,0.162,3.95,0.01243,Msini,3.6,,8.6,464.0,0,M5.0 V,3130.0,0.17,0.16,-2.533,4.93,8.60715,12.1232,146.38205640564775,0.3417210470582768,No
74,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,10037.5,2.6,12.4,1.11,3337.1,10.5,Mass,9.62,,,370.0,0,,580.5,,0.02,,4.72,23.1,,,,No
75,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,8040000.0,200.0,20.849,1.86,2479.06157,7.8,Mass,1.5,,,1800.0,0,M9-L1,2320.0,0.24,0.01,-2.85,3.85,,,-269.5964631393588,5321.45011959762,No
76,CHXR 73 b,CHXR 73,1,1,Imaging,2006,,210.0,12.3,1.1,3994.486,12.569,Mass,11.8,,,,0,M3.5,3099.0,,0.35,,,190.374,17.2934,,,No
77,CI Tau b,CI Tau,1,1,Radial Velocity,2019,8.9891,,12.4,1.11,3686.828,11.6,Mass,10.6,0.25,,,0,K7,3807.0,1.88,0.9,-0.108,,157.998,12.1454,,,No
78,COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,402000000.0,7506.0,12.442,1.11,2002.31896,6.3,Mass,5.71,,,434.0,0,M3 V,3406.0,0.39,0.37,-1.732,4.83,10.8864,10.146,-272.06443737154444,55132.61094387305,No
79,CT Cha b,CT Cha,1,1,Imaging,2007,,440.0,24.66,2.2,5403.0,17.0,Mass,1.98,,,2600.0,0,K5e,4403.0,1.68,,-0.102,3.66,190.72,11.7733,-261.1201779014811,494.8261885454476,No
80,CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.5089557,0.02752,16.7,1.49,327.35,1.03,Mass,0.38,0.0,2852.63,1898.0,0,G0 V,5950.0,1.11,0.95,0.298,4.25,787.909,13.457,1397.696130178872,0.01952758017435246,No
81,CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.2406,0.1055,10.87,0.97,874.0,2.75,Mass,3.7,0.53,,600.0,0,K1 V,5075.0,0.79,0.89,-0.726,4.65,338.386,14.6645,340.9026065514271,0.24336182840996728,No
82,CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.99433,0.0436,16.03,1.43,740.51,2.33,Mass,0.99,0.0,,1657.0,0,F6 V,6440.0,1.37,1.27,0.378,4.22,655.037,12.841,1323.041975295619,0.028215418046638227,No
83,CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.828042,0.04016,16.14,1.44,291.438,0.917,Mass,0.411,0.07,661.13,1442.0,0,,5675.0,1.12,1.08,0.07,4.38,1126.37,15.3453,1051.9853571196672,0.037050468514535286,No
84,CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519,0.051,9.92,0.885,415.704,1.308,Mass,2.34,0.0,546.53,1700.0,0,G0 V,5945.0,1.01,1.09,0.073,4.46,1148.93,14.9147,896.6447679507224,0.04688891421500304,No
85,CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214,0.027,12.22,1.09,2415.4,7.6,Mass,7.3,0.0,,1952.0,0,F9 V,6035.0,1.21,1.13,0.119,4.35,1744.6,15.8116,1513.2153835046524,0.023543106334751,No
86,CoRoT-16 b,CoRoT-16,1,1,Transit,2011,5.35227,0.0618,13.11,1.17,170.032,0.535,Mass,0.44,0.33,,,0,G5 V,5650.0,1.19,1.1,-0.435,4.36,732.409,15.6507,823.1007607890746,0.10197376988159007,No
87,CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.7681,0.0461,11.43,1.02,772.29,2.43,Mass,2.82,0.0,,1626.0,0,G2 V,5740.0,1.59,1.04,0.134,4.4,1176.12,15.4368,1217.3851039514566,0.03950944466512004,No
88,CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.9000693,0.0295,14.68,1.31,1102.82,3.47,Mass,2.2,0.08,823.7,1550.0,0,G9 V,5440.0,1.0,0.95,-0.17,4.4,764.889,14.8009,1127.3080636147533,0.03587748701906786,No
89,CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89713,0.0518,14.46,1.29,352.78,1.11,Mass,0.71,0.047,1103.81,2000.0,0,F9 V,6090.0,1.65,1.21,0.544,4.07,790.663,13.7831,1246.615570840579,0.02769043381676313,No
90,CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.7429935,0.02798,16.432,1.466,1102.82,3.47,Mass,1.47,0.0143,932.91,1521.0,1,,5625.0,0.91,0.96,-0.131,4.53,213.283,12.2489,1145.2593475228477,0.03253476769707386,No
91,CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285,0.09,9.416,0.84,1366.669,4.3,Mass,8.87,0.59,180.87,1024.0,0,G2 V,5880.0,1.02,1.14,0.17,4.35,844.061,14.4686,602.1126052215265,0.0740018384952364,No
92,CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,1675.0,2.9,12.2,1.09,5403.11,17.0,Msini,16.4,0.6,,,0,G2 V,4947.5,1.37,1.14,0.006,4.35,844.061,14.4686,-122.79104305549623,2.880036540420708,No
93,CoRoT-21 b,CoRoT-21,1,1,Transit,2012,2.72474,0.0417,14.572,1.3,718.2958,2.26,Mass,1.36,0.0,,,0,F8 IV,6200.0,1.95,1.29,0.705,3.7,1398.8341969,15.8558,1601.51289916096,0.018519789878945057,No
94,CoRoT-22 b,CoRoT-22,1,1,Transit,2014,9.75598,0.092,4.88,0.435,12.2,0.038,Mass,0.249,0.077,,885.0,0,G3 V,5939.0,1.14,1.1,0.014,4.36,627.158,13.7305,651.2374786268224,0.0905290217300243,No
95,CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.6313,0.048,11.77,1.05,889.9,2.8,Mass,3.0,0.16,,1660.0,0,G0 V,5900.0,1.61,1.14,0.087,4.3,1060.97,15.0681,1237.7180862012247,0.04342514101142973,No
96,CoRoT-24 b,CoRoT-24,1,2,Transit,2014,5.1134,0.056,3.7,0.33,5.7,0.018,Mass,0.9,0.0,,1070.0,0,K1 V,4950.0,0.86,0.91,-0.601,4.55,591.555,15.1801,584.5642546975481,0.11186340303279163,No
97,CoRoT-24 c,CoRoT-24,1,2,Transit,2014,11.759,0.098,5.0,0.44,28.0,0.088,Mass,1.3,0.0,,850.0,0,K1 V,4950.0,0.86,0.91,-0.601,4.55,591.555,15.1801,375.2210325385216,0.19576095530738535,No
98,CoRoT-25 b,CoRoT-25,1,1,Transit,2013,4.86069,0.0578,12.11,1.08,85.81,0.27,Mass,0.15,0.0,,1330.0,0,F9,6040.0,1.19,1.09,0.141,4.31,1103.48,14.711,938.6437742100364,0.049139172466233845,No
99,CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474,0.0526,14.12,1.26,165.26,0.52,Mass,0.28,0.0,,1600.0,0,G5,5590.0,1.79,1.09,0.451,3.99,1045.18,15.4682,1168.725186699336,0.031295777405522356,No
100,CoRoT-27 b,CoRoT-27,1,1,Transit,2014,3.57532,0.0476,11.287,1.007,3302.11,10.39,Mass,12.6,0.065,,1500.0,0,G2,5900.0,1.08,1.05,-0.166,4.4,1010.28,15.3902,969.4822762355528,0.05762447115700296,No
101,CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851,0.0603,10.705,0.955,153.82972,0.484,Mass,0.69,0.047,,,0,G8/9 IV,5150.0,1.78,1.01,0.388,3.6,766.183,13.4119,964.0525057536523,0.03857601057960368,No
102,CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.85057,0.0386,10.088,0.9,270.1555,0.85,Mass,1.45,0.082,,,0,K0 V,5260.0,0.9,0.97,-0.094,4.3,806.507,15.2394,849.8908747288089,0.043011768996640776,No
103,CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.2568,0.05783,11.32,1.01,6883.91,21.66,Mass,26.4,0.0,,1695.0,0,F3 V,6740.0,1.56,1.37,0.391,4.22,768.771,13.2188,1274.6962393950494,0.03686830675624866,No
